tamMatriz,tempoSequencial,tempo2Thread,speedup2Thread,eficiencia2Thread,delta2Thread,tempo4Thread,speedup4Thread,eficiencia4Thread,delta4Thread,tempo8Thread,speedup8Thread,eficiencia8Thread,delta8Thread,tempoMPI,speedupMPI,eficienciaMPI,deltaMPI
128,0.000253,0.015926,0.015904,0.007952,0.000000e+00,1.946342e-02,1.301349e-02,3.253373e-03,0.000000e+00,2.548225e-02,9.939742e-03,1.242468e-03,0.000000e+00,0.015312,0.016542,0.002068,0.000000e+00
256,0.002077,0.034676,0.059905,0.029952,0.000000e+00,1.526951e-02,1.360392e-01,3.400980e-02,0.000000e+00,7.881592e-03,2.635574e-01,3.294468e-02,0.000000e+00,0.008508,0.244154,0.030519,0.000000e+00
512,0.021716,0.075063,0.289298,0.144649,0.000000e+00,3.644129e-02,5.959068e-01,1.489767e-01,0.000000e+00,4.751790e-02,4.569985e-01,5.712482e-02,0.000000e+00,0.023467,0.925383,0.115673,0.000000e+00
1024,0.186865,0.333489,0.560335,0.280167,0.000000e+00,1.646120e-01,1.135188e+00,2.837969e-01,0.000000e+00,9.031701e-02,2.068995e+00,2.586244e-01,0.000000e+00,0.088208,2.118475,0.264809,0.000000e+00
2048,1.381112,2.031231,0.679938,0.339969,0.000000e+00,1.495106e+00,9.237554e-01,2.309389e-01,0.000000e+00,8.467503e-01,1.631073e+00,2.038842e-01,0.000000e+00,0.412466,3.348424,0.418553,0.000000e+00
4096,10.965004,11.541631,0.950039,0.475020,0.000000e+00,6.995306e+00,1.567480e+00,3.918701e-01,0.000000e+00,5.266411e+00,2.082064e+00,2.602580e-01,0.000000e+00,6.835154,1.604207,0.200526,0.000000e+00
